d_mes_v_x,d_mes_v_y,d_mes_mega
-0.00758508725448466,-0.009154079549161212,-0.07329201044614445
-0.006371114325129303,-0.02361994086122736,0.1585286156826099
-0.00467663308981358,-0.02086325084262656,-0.023240512982140707
-0.0029335297150016783,0.00026130995842086474,0.12351071759033155
-0.005787768440237741,0.014410149982187148,0.38926477493035283
-0.010185626443072058,0.04525525677774474,0.2599750512780198
-0.012228951240468203,0.07173870336895467,0.04490222416267742
-0.012434355804329375,0.08553156409175978,-0.09602125900116398
-0.010478275555509009,0.09048644884044157,-0.13243970383563533
-0.007813953699194125,0.09128481098950154,-0.12297803154118116
-0.005430460129672701,0.09083243211490774,-0.10067473054825957
-0.0027887709158941412,0.08967578755691429,-0.06009099894661972
0.00017824064739987988,0.08791944456688329,-0.012173416837883925
0.003659207472102834,0.08527698886521795,0.021686103185401803
0.008571451497479631,0.07812968926175146,-0.021865753499572815
0.01213946540888091,0.07081692772947493,-0.0764419794451896
0.013665313975958285,0.05731571264889224,-0.10195399917091241
0.012657238455104233,0.042264929142047575,-0.10602682022014143
0.008993893968988732,0.03511483686747052,0.06160821274928716
0.005304550200343511,0.0325837094941894,0.1941467229230091
0.0027320254269266493,0.04148959368483247,0.167909273286028
0.002196700123433108,0.04408788639319473,0.006495262478118935
0.0009708169537827635,0.03610398996777898,-0.23358231393693552
-0.002859882186877008,0.015052485492185057,-0.3380575549888576
-0.00635336383460566,-0.014171821276306944,-0.2697075416515371
-0.007498555299614431,-0.03423201962159849,-0.1088891142628341
-0.007356363614678209,-0.03496993993789826,0.12257276640285053
-0.009087975612841338,-0.015542396846604516,0.3767442794189275
-0.01242534005005689,0.014201788125922495,0.40579791981343294
-0.011754644896368988,0.04352512851647325,0.2250513316844197
-0.00976115655077383,0.0602728665793645,0.10887702473733571
-0.011770193691475757,0.06984640322601669,0.11652839322722253
-0.013530200180691454,0.07474084554229,0.044838044508451635
-0.011823580178526236,0.07905510323675694,0.017163351605660154
-0.00802829131331094,0.0806781376681964,0.040323048306947856
-0.0037584187841827738,0.07847767610715789,0.03455437489965196
-0.00014351921209965202,0.07414386132490118,0.015441749806155092
0.00278090378646108,0.06652360710933983,-0.010724978907112548
0.0033125841626116103,0.060441597904802115,0.010887571982639677
0.001822633549008375,0.05528013950105193,0.07163438534801761
-0.00022495314165144487,0.05273115097883159,0.09852850868767218
-0.003423603222708861,0.05512154693389669,0.13377056728606185
-0.006557072157533195,0.05840913602596261,0.15771073808465502
-0.011847284648397224,0.06476186101014428,0.14110279377008794
-0.01451139630302898,0.06989643887058053,0.0640910494804865
-0.0106622880181073,0.07038156738427348,0.050868943098539926
-0.005405629172059799,0.06533787667743689,-0.02086461992700328
-0.007931490671574087,0.06699297471553536,0.11161498677417453
-0.00915348352721794,0.06516931086209152,0.14391693078192186
-0.0031263051606750525,0.06261317718447158,0.0793538389854759
0.0018070662499744244,0.06161192828455238,0.024565896984593494
0.0026363292120030034,0.05873006362983559,0.05789294856516486
0.00326025607507968,0.05733401462633024,0.09074972990923855
0.005226505565416727,0.056460039351800974,0.10679609432625047
0.00794083345245105,0.05621138167053206,0.088410892869204
0.010259344479110317,0.05661134346071243,0.07219493285005862
0.012043182071005527,0.057287492337547694,0.07583389231243279
0.017199029784638824,0.03821122216280526,-0.19054983942914483
0.01721506634161761,0.024552783345500057,-0.44971716843405907
0.01176837602117256,-0.00619985301221762,-0.44216575205376474
0.007182992440178573,-0.035813574464415986,-0.32171564554158905
0.00527631934273233,-0.05822267741433033,-0.18839212522574028
0.004027720847513428,-0.07126561917089896,-0.10503256244447087
0.0026800191133406815,-0.0778894426861522,-0.06281049754037812
0.002282598672796259,-0.07809944760723699,-0.018427953726431162
0.002232631498268703,-0.07401113435123394,0.031463043179792816
-0.004791762639998143,-0.07514477045448473,-0.04198639014832417
-0.009904464807427606,-0.07378368470654534,0.05201529561630336
-0.011735226254656873,-0.07645214809289023,0.052635486461643455
-0.012994220972257844,-0.07972569108778163,0.024499645518443414
-0.011914265420054991,-0.08047987670059392,-0.0322850107703052
-0.011646162849403223,-0.07976332143899047,-0.05153610501522242
-0.010586598008349761,-0.07715719556308413,-0.050019099881996536
-0.00686136950300302,-0.07020635223094054,-0.021494642936912778
-0.01090536298228114,-0.07083573194137721,-0.09749978566156225
-0.011309345950051418,-0.0667012966173073,-0.10459512685931466
-0.008006059875147013,-0.06649797849455441,-0.11289847602667885
-0.005439514923034936,-0.06388201485643918,-0.10667746242159436
-0.0021895557843117633,-0.06242075972417564,-0.088762738078183
-0.00016662983015132936,-0.061187902362913264,-0.10064170792657964
0.0027862336618372837,-0.058376337593775154,-0.07901794697064687
0.007933465042950411,-0.03987431607986774,0.16451845786845498
0.006760763808050942,-0.047916609713153355,0.07771763570512302
0.005978508940355665,-0.04071967074819691,-0.16757819604227053
0.009856914040709631,-0.0337715792874135,-0.05590478560530365
0.013677320610115347,-0.01909682970727366,0.2583507241097507
0.012126895393970077,-0.0023602042804795956,0.46419318525674
0.010201207627758023,0.02440282600989028,0.39783396251052716
0.010829246861210264,0.047895903440928256,0.25571292382949184
0.011560076897994723,0.06435046997255328,0.1503077248031805
0.01221451258531775,0.07432228909195202,0.08494348651674541
0.012256140586690084,0.07951935513778563,0.04735255356344427
0.011376585798308358,0.08085254229435067,0.01999157505633309
