pos_x,pos_y,yaw_angle,v_x,v_y,omega,dacc,ddelta,theta
0.521200205,-1.049781933,0.005957597,1.226258963,0.025647802,0.458520768,0.395104238,0.086740888,0.389656935
0.562808002,-1.048174776,0.03099384,1.272867919,0.018150417,0.841954078,0.412685409,0.068154995,0.421907444
0.605986187,-1.045661075,0.056015232,1.32260841,0.005233818,0.619957571,0.424179725,0.022771089,0.460541869
0.650814684,-1.042730783,0.067632648,1.3727408,-0.006428287,0.102283382,0.428909435,-0.023310927,0.503311859
0.697333185,-1.040035952,0.060953548,1.423195435,-0.017780889,-0.485350933,0.449190468,-0.066623068,0.549574835
0.745622792,-1.038362905,0.03636887,1.476492254,-0.023006511,-0.956941315,0.478656867,-0.086957349,0.598080601
0.795849191,-1.037952326,0.00748989,1.539196393,0.005388717,-0.596533003,0.545322319,0.012864916,0.647990852
0.8482932,-1.03714313,0.008889893,1.607667754,0.035114586,0.727732421,0.611970656,0.141225421,0.700347655
0.902949533,-1.034019354,0.056856024,1.676431229,0.051643768,2.113598097,0.662169717,0.228564436,0.754978263
0.959459574,-1.026584648,0.145060528,1.741949396,0.055574764,3.137440033,0.681696059,0.300026583,0.811396812
1.016993774,-1.013059327,0.260996937,1.80470758,0.044748367,3.759221949,0.693534026,0.304922219,0.868868102
1.074536396,-0.992353516,0.391837574,1.865564204,0.02565972,4.056402501,0.699897909,0.309785891,0.926445752
1.130877482,-0.963881731,0.528536777,1.924346322,0.001596451,4.098625384,0.681154695,0.261773399,0.992466764
1.184850102,-0.927605756,0.663453064,1.978639967,-0.018851026,3.995463283,0.664916641,0.260736847,1.060131429
1.235203336,-0.883750299,0.794700839,2.030429866,-0.033357926,3.873316449,0.686469457,0.245658668,1.16885987
1.280985047,-0.832726623,0.921168702,2.08494765,-0.04530368,3.705023616,0.699283109,0.221230423,1.299133798
1.321476826,-0.775110351,1.041008483,2.141844183,-0.054862337,3.473942421,0.699918412,0.193185717,1.430209403
1.356289382,-0.711641222,1.149625858,2.202992574,-0.068449461,2.948356848,0.67790804,0.109577008,1.545700875
1.38588006,-0.643283976,1.233541579,2.26450003,-0.070704889,2.061353758,0.626270299,0.059984444,1.626081097
1.41098656,-0.57108634,1.288782245,2.319142025,-0.049514404,1.318465495,0.560221698,0.048181315,1.701231801
1.432401326,-0.496009329,1.327402335,2.362783469,-0.023267839,1.091819107,0.493603598,0.065924998,1.776844961
1.450508495,-0.418810356,1.367171852,2.392588341,-0.006998905,1.35986693,0.42699622,0.101647021,1.854133599
1.464969056,-0.34007605,1.418242534,2.409176543,-0.010530701,1.672386538,0.360382039,0.100468088,1.932846072
1.47554899,-0.26034218,1.473065811,2.415978171,-0.028162632,1.515274458,0.294101256,0.054796512,2.012523501
1.482800842,-0.180142699,1.512725424,2.413856713,-0.040880074,0.780543972,0.227570056,-0.005216708,2.092675974
1.488254582,-0.100034399,1.520917596,2.401024217,-0.040320378,-0.329948752,0.165235397,-0.075083776,2.17273286
1.494278517,-0.020609568,1.492130381,2.375878841,-0.024247832,-1.348427964,0.109403024,-0.115526092,2.25211529
1.502945832,0.057535749,1.437395622,2.340975764,-0.00046812,-1.841206056,0.06405009,-0.109605337,2.330238093
1.515195867,0.133941827,1.377969255,2.302567456,0.025906646,-1.582179282,0.034801086,-0.04930206,2.406671122
1.530264214,0.208541898,1.34071673,2.263258225,0.043060483,-0.539370564,0.016151425,0.035984927,2.481289346
1.545903505,0.281626071,1.347602142,2.21861873,0.046317618,0.988217819,0.003432651,0.144817991,2.554360951
1.559033559,0.353557482,1.40255577,2.168231385,0.030597041,2.216296808,0.011279526,0.18813159,2.626260449
1.567402557,0.424452294,1.487836225,2.11578321,0.011087191,2.820421245,0.009204648,0.197520944,2.697089048
1.569574274,0.494028502,1.588479061,2.062476243,0.002945957,3.218047421,0.069211142,0.261407994,2.766568042
1.564558046,0.561588825,1.702442392,2.002024619,0.000470023,3.608460538,0.060147325,0.363264349,2.834062185
1.551999724,0.626028309,1.827330139,1.942167024,-0.003020137,3.858358802,0.116869402,0.328959615,2.898538542
1.531958771,0.686707838,1.958021949,1.897060278,-0.005731814,3.961974892,0.170644785,0.301842471,2.959407867
1.504745334,0.743150499,2.089502836,1.868380246,-0.009109811,3.883131767,0.218269916,0.240339415,3.017191007
1.470980324,0.795116508,2.214377017,1.853929286,-0.011397523,3.582614632,0.239683753,0.203064109,3.075903347
1.431495023,0.842450983,2.326861259,1.847535073,-0.009582991,3.146433694,0.24121517,0.166603779,3.141206678
1.387423992,0.88544135,2.41849582,1.849279727,-0.022489588,2.196937703,0.224688909,0.059542309,3.213996863
1.34022992,0.925065012,2.482322381,1.844711443,0.010326673,1.892799261,0.191276495,0.168780517,3.291785479
1.290092791,0.960181853,2.555956169,1.827544176,0.032795015,2.566784947,0.167277268,0.224246381,3.369571969
1.237571551,0.990276231,2.650703075,1.804892567,0.03374338,3.070734156,0.139125518,0.226519728,3.442456627
1.183065903,1.014685254,2.756654148,1.779034686,0.02795726,3.241739254,0.106879907,0.21627916,3.507584189
1.127205159,1.032824706,2.867429826,1.743705382,0.032786868,3.441562955,0.073907616,0.276110519,3.565918015
1.071014005,1.04379736,2.98873182,1.688903101,0.04345688,3.851488023,0.017025025,0.393188292,3.622592955
1.015844024,1.047079169,3.122311643,1.631916827,0.044958568,4.082654076,0.010519532,0.283770804,3.677935571
0.962444129,1.042976875,3.258923708,1.581812514,0.049365471,4.145246503,0.035385282,0.346606038,3.732235796
0.911746038,1.031620828,3.398359338,1.539830529,0.053136626,4.171037185,0.078975347,0.294173532,3.783459779
0.864146958,1.013708398,3.534719038,1.514490645,0.053383278,4.001601406,0.141209705,0.279399241,3.832782559
0.819837496,0.989939552,3.662775729,1.506111807,0.046273657,3.615185678,0.192923798,0.219147658,3.858467154
0.77873791,0.961145285,3.778952166,1.504074986,0.055593848,3.461233581,0.241777119,0.273491645,3.941765287
